conflict,city,state,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,combatants,result,u_strength,c_strength,i_strength,uc_wounded,uc_captured,uc_killed,uc_total,cc_wounded,cc_captured,cc_killed,cc_total,ic_wounded,ic_captured,ic_killed,ic_total,a_wounded,a_captured,a_killed,a_total
Battle of Sewell's Point,Norfolk,VA,36.954722,-76.326667,1861,5,18,1861,5,19,1,4,2 gunboats,1 battery,,,,,,,,,,,,,,,,,10
Battle of Shepherdstown,Jefferson County,WV,39.4279,-77.7786,1862,9,19,1862,9,20,1,2,16000,16000,,163,132,73,368,267,6,36,309,,,,,,,,
Battle of Shiloh,Hardin County,TN,35.15068,-88.32183,1862,4,6,1862,4,7,1,1,66812,44699,,8408,2885,1754,13047,8012,959,1728,10699,,,,,,,,
Battle of Simmon's Bluff,Meggett,SC,32.695278,-80.228056,1862,6,21,1862,6,21,1,1,800,800,,,,,0,,,,0,,,,,,,,
Battle of Smithfield Crossing,Jefferson County,WV,39.308,-77.9824,1864,8,25,1864,8,29,1,4,Divisions,Divisions,,,,,,,,,,,,,,,,,300
Battle of Snyder's Bluff,Warren County,MS,32.4964,-90.8,1863,4,29,1863,5,1,1,2,8000,2600,,,,,,,,,,,,,,,,,
Battle of South Mills,Camden County,NC,36.4304,-76.3033,1862,4,19,1862,4,19,1,1,3000,1000,,,,,114,,,,25,,,,,,,,
Battle of South Mountain,Frederick County,MD,39.48501,-77.62161,1862,9,14,1862,9,14,1,1,28000,18000,,1807,75,443,2325,1560,800,325,2685,,,,,,,,
Battle of Spanish Fort,Baldwin County,AL,30.684278,-87.916375,1865,3,27,1865,4,8,1,1,30000,2500,,,,,657,,,,744,,,,,,,,
Battle of Spotsylvania Court House,Spotsylvania County,VA,38.2242,-77.5981,1864,5,8,1864,5,21,1,1,100000-110000,50000-63000,,13416,2258,2725,18399,5414,5758,1515,12687,,,,,,,,
Battle of Spring Hill,Maury County,TN,35.7374,-86.9323,1864,11,29,1864,11,29,1,1,7000,12000,,,,,350,,,,500,,,,,,,,
Battle of Springfield II,Springfield,MO,37.195,-93.3021,1863,1,8,1863,1,8,1,1,2099,1870,,195,6,30,231,,,,290,,,,,,,,
Battle of Stanwix Station,Yuma County,AZ,32.93352,-113.39255,1862,3,30,1862,3,30,1,1,272,10,,1,,,1,,,,0,,,,,,,,
Battle of Staunton River Bridge,Halifax County,VA,36.8857,-78.7044,1864,6,25,1864,6,25,1,2,5000,4100,,44,30,42,116,24,,10,34,,,,,,,,
Battle of Stirling's Plantation,Pointe Coupee Parish,LA,30.6834,-91.6596,1863,9,29,1863,9,29,1,2,650,3000,,45,454,16,515,85,10,26,121,,,,,,,,
Battle of Stones River,Murfreesboro,TN,35.88,-86.435,1862,12,31,1863,1,2,1,1,43400,35000,,7543,3686,1677,12906,7945,,1294,11739,,,,,,,,
Battle of Stony Lake,Burleigh County,ND,46.8514,-100.1843,1863,7,28,1863,7,28,2,1,2056,,1600-2500,,,2,2,,,,,,,,3,,,,
Battle of Sulpher Creek Trestle,Limestone County,AL,34.90936,-86.98814,1864,9,23,1864,9,25,1,2,2350,4500,,,,,2350,,,,139,,,,,,,,
Battle of Summit Point,Summit Point,WV,39.2499,-77.9586,1864,8,21,1864,8,21,1,4,Divisions,Divisions,,,,,,,,,,,,,,,,,1000
Battle of Sutherland's Station,Dinwiddie County,VA,37.1975,-77.5625,1865,4,2,1865,4,2,1,1,1500,3000,,,,,370,,,,600,,,,,,,,
Battle of Swift Creek,Chesterfield County,VA,37.2861,-77.4118,1864,5,9,1864,5,9,1,4,14000,4200,,,,,,,,,,,,,,,,,990
Battle of Tampa,Tampa,FL,27.9415,-82.4559,1862,6,30,1862,7,1,1,2,1 gunboat,1 company,,,,,0,,,,0,,,,,,,,
Battle of Thompson's Station,Williamson County,TN,35.798,-86.9063,1863,3,5,1863,3,5,1,2,1 Reinforced Infantry Brigade,1 Cavalry Corps,,,,,1906,,,,300,,,,,,,,
Battle of Thoroughfare Gap,Fauquier County,VA,38.8243,-77.7148,1862,8,28,1862,8,28,1,2,5000,28000,,,,,,,,,,,,,,,,,100
Battle of Tom's Brook,Shenandoah County,VA,38.9429,-78.4458,1864,10,9,1864,10,9,1,1,6300,3500,,,,,57,,,,350,,,,,,,,
Battle of Totopotomoy Creek,Hanover County,VA,37.634,-77.2987,1864,5,28,1864,5,30,1,4,,,,,52,679,731,961,369,263,1593,,,,,,,,
Battle of Tranter's Creek,Pitt County,NC,35.6186,-77.1431,1862,6,5,1862,6,5,1,1,1100,1000,,,,,,,,,,,,,,,,,40
Battle of Trevilian Station,Louisa County,VA,38.04973,-78.06604,1864,6,11,1864,6,12,1,2,9286,6762,,738,624,150,1512,,,,813,,,,,,,,
Battle of Tupelo,Near Tupelo,MS,34.255278,-88.737222,1864,7,14,1864,7,15,1,1,16000,9100,,533,,69,602,1125,,215,1340,,,,,,,,
Battle of Upperville,Loudoun County,VA,38.9851,-77.8343,1863,6,21,1863,6,21,1,4,2 cavalry division 1 infantry brigade,4 cavalry brigades,,,,,,,,,,,,,,,,,400
Battle of Utoy Creek,Fulton County,GA,33.7209,-84.4704,1864,8,5,1864,8,7,1,4,,,,,,,850,,,,35,,,,,,,,
Battle of Valverde,Valverde,NM,33.692614,-106.914822,1862,2,20,1862,2,21,1,2,3000,2590,,160,204,68,432,150,,36,187,,,,,,,,
Battle of Vaught's Hill,Rutherford County,TN,35.92523,-86.2047,1863,3,20,1863,3,20,1,1,1300,3500,,,,,62,,,,373,,,,,,,,
Battle of Vermillion Bayou,Lafayette Parish,LA,30.1955,-92.0143,1863,4,17,1863,4,17,1,1,,,,,,,,,,,,,,,,,,,
Battle of Walkerton,Walkerton,VA,37.709167,-76.924722,1864,3,2,1864,3,2,1,2,4000,,,,,,,,,,,,,,,,,,
Battle of Ware Bottom Church,Chesterfield County,VA,37.344444,-77.391389,1864,5,20,1864,5,20,1,2,5000,5000,,,,,,,,,,,,,,,,,1500
"Battle of Washington, North Carolina",Beaufort County,NC,35.5443,-77.0601,1863,3,30,1863,4,20,1,4,4800,8000,,,,,40,,,,60,,,,,,,,
