conflict,city,state,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,combatants,result,u_strength,c_strength,i_strength,uc_wounded,uc_captured,uc_killed,uc_total,cc_wounded,cc_captured,cc_killed,cc_total,ic_wounded,ic_captured,ic_killed,ic_total,a_wounded,a_captured,a_killed,a_total
Action at Chester Station,Chester,VA,37.352861,-77.41225,1864,5,10,1864,5,10,1,4,3400,2000,,,,,280,,,,249,,,,,,,,
Battle of Adairsville,Bartow County,GA,34.4083,-84.9389,1864,5,17,1864,5,17,1,1,4174,4477,,,,,200,,,,,,,,,,,,
Battle of Aiken,Aiken,SC,33.549444,-81.720556,1865,2,11,1865,2,11,1,2,,,,,,,45-495,,,,50-251,,,,,,,,
Battle of Albemarle Sound,Albemarle Sound,NC,35.978561,-76.536942,1864,5,5,1864,5,5,1,4,8 gunboats,1 ironclad 2 gunboats,,,,,31,,,,57,,,,,,,,
Battle of Aldie,Loudoun County,VA,38.9826,-77.6588,1863,6,17,1863,6,17,1,4,2000,1500,,,,,305,,,,110-119,,,,,,,,
Battle of Allatoona,Bartow County,GA,34.116,-84.716,1864,10,5,1864,10,5,1,1,2025,3276,,,,,706,,,,897,,,,,,,,
Battle of Amelia Springs,Amelia County,VA,37.3344,-78.079,1865,4,5,1865,4,5,1,4,,,,,,,158,,,,100,,,,,,,,
Battle of Anderson,Anderson,SC,34.40516,-82.45207,1865,5,1,1865,5,1,1,4,,,,,,,2,,,,0,,,,,,,,
Battle of Anthony's Hill,Giles County,TN,35.2,-87.04,1864,12,25,1864,12,25,1,2,1000,4000,,,,,,,,,,,,,,,,,
Battle of Antietam,Washington County,MD,39.473333,-77.744722,1862,9,17,1862,9,17,1,1,87164,38000,,9549,753,2108,12410,8724,,1567,10000-13000,,,,,,,,
Battle of Apache Pass,Cochise County,AZ,32.157,-109.453,1862,7,15,1862,7,16,2,1,138,,500,3,,2,5,,,,,,,66,66,,,,
Battle of Appomattox Court House,Appomattox County,VA,37.377778,-78.794444,1865,4,9,1865,4,9,1,1,100000,28000,,,,,164,,,,500,,,,,,,,
Battle of Appomattox Station,Appomattox County,VA,37.353472,-78.827306,1865,4,8,1865,4,8,1,1,4000,3000,,40-86,3,5-32,48-121,,1000,,1000+,,,,,,,,
Battle of Aquia Creek,Stafford County,VA,38.3893,-77.3157,1861,5,29,1861,6,1,1,4,1 sloop-of-war 3 gunboats,13 artillery 2 shore batteries,,9,,,9,1,,,1,,,,,,,,
Battle of Arkansas Post,Arkansas Post,AR,34.021,-91.349,1863,1,9,1863,1,11,1,1,33000,5500,,,,134,1061,,,,709,,,,,,,,
Battle of Athens (Alabama),Athens,AL,34.8033,-86.9722,1864,1,26,1864,1,26,1,1,100,600,,,,,20,,,,30,,,,,,,,
Battle of Athens (Missouri),Clark County,MO,40.585,-91.696,1861,8,5,1861,8,5,1,1,333-500,2000 3 canon,,20,,3,23,,,31,31,,,,,,,,
Battle of Atlanta,Fulton County,GA,33.7459,-84.3488,1864,7,22,1864,7,22,1,1,34863,40438,,,,,3641,,,,5500,,,,,,,,
Battle of Averasborough,Harnett County,NC,35.25,-78.690278,1865,3,16,1865,3,16,1,4,25992,5400,,,,,682,,,,865,,,,,,,,
Battle of Ball's Bluff,Loudoun County,VA,39.1282,-77.5277,1861,10,21,1861,10,21,1,2,1720,1709,,226,553,223,1002,117,2,36,155,,,,,,,,
Battle of Barbourville,Barbourville,KY,36.861111,-83.879444,1861,9,19,1861,9,19,1,2,300,800,,1,13,1,15,,,7,7,,,,,,,,
Battle of Baton Rouge,Baton Rouge,LA,30.451,-91.1676,1862,8,5,1862,8,5,1,1,2500,2600,,,,,371,,,,478,,,,,,,,
Battle of Baxter Springs,Cherokee County,KS,37.0308,-94.735,1863,10,6,1863,10,6,1,1,96 infantry 200 cavalry 1 M1841 Mountain Howitzer,400 mounted guerrillas,,18,,113,131,2,,2,4,,,,,,,,
Battle of Bayou Bourbeux,St. Landry Parish,LA,30.4125,-92.089722,1863,11,3,1863,11,3,1,1,1625,6000,,,,26,26,,,42,42,,,,,,,,
Battle of Bayou Fourche,Pulaski County,AR,34.7154,-92.129,1863,9,10,1863,9,10,1,1,12000,7700,,,,,72,,,,64,,,,,,,,
Battle of Bayou Meto,Pulaski County,AR,34.843581,-92.122061,1863,8,27,1863,8,27,1,2,,,,,,,,38,,7,45,,,,,,,,
Battle of Bean's Station,Grainger County,TN,36.3248,-83.369,1863,12,14,1863,12,14,1,2,4000,,,,,,700,,,,900,,,,,,,,
Battle of Beaver Dam Creek,Hanover County,VA,37.5985,-77.3599,1862,6,26,1862,6,26,1,1,15631,16356,,207,105,49,361,,,,1484,,,,,,,,
Battle of Belmont,Mississippi County,MO,36.7657,-89.124,1861,11,7,1861,11,7,1,1,3114,5000,,383,104,120,607,419,117,105,641,,,,,,,,
Battle of Bentonville,Bentonville,NC,35.2532,-78.6708,1865,3,19,1865,3,21,1,1,60000,21900,,1112,221,194,1527,1694,673,239,2606,,,,,,,,
Battle of Berryville,Clarke County,VA,39.162083,-77.997556,1864,9,3,1864,9,4,1,4,16000,8000,,,,,314,,,,295,,,,,,,,
Battle of Big Bethel,Tabb,VA,37.0937,-76.425,1861,6,10,1861,6,10,1,2,3500,1400,,53,5,18,76,7,,1,8,,,,,,,,
Battle of Big Black River Bridge,Hinds County,MS,32.3471,-90.7043,1863,5,17,1863,5,17,1,1,,5000,,,,,276,,,,1751,,,,,,,,
Battle of Big Mound,Kidder County,ND,47.024036,-99.629087,1863,7,24,1863,7,24,2,1,2056 soldiers,,1000-1500,4,,3,7,,,,,,,9,9,,,,
Battle of Birch Coulee,Morton,MN,44.576389,-94.974722,1862,9,2,1862,9,2,2,3,170,,200,47,,13,60,,,,,,,,2,,,,
Battle of Blackburn's Ford,Prince William County,VA,38.804167,-77.449167,1861,7,18,1861,7,18,1,2,3000,5100,,,,,83,,,,68,,,,,,,,
Battle of Blair's Landing,Red River Parish,LA,31.941,-93.289,1864,4,12,1864,4,13,1,1,1 Corps,1 Cavalry Division,,,,,7,,,,200,,,,,,,,
Battle of Blountville,Blountville,TN,36.533333,-82.326389,1863,9,22,1863,9,22,1,1,,,,,,,27,,,,165,,,,,,,,
Battle of Blue Springs,Greene County,TN,36.1934,-82.9373,1863,10,10,1863,10,10,1,1,,,,,,,100,,,,216,,,,,,,,
Battle of Boonsboro,Washington County,MD,39.5254,-77.6632,1863,7,8,1863,7,8,1,4,Divisions,Divisions,,,,,,,,,,,,,,,,,100
Battle of Brandy Station,Culpeper County,VA,38.5018,-77.8936,1863,6,9,1863,6,9,1,4,11000,9500,,352,486,69,907,,,,523,,,,,,,,
Battle of Brentwood,Williamson County,TN,36.0363,-86.7855,1863,3,25,1863,3,25,1,2,400,,,,,,305,,,,6,,,,,,,,
Battle of Brice's Crossroads,Near Baldwyn,MS,34.506111,-88.728889,1864,6,10,1864,6,10,1,2,8100,3500,,2017,,223,2240,412,,80,492,,,,,,,,
Battle of Bristoe Station,Prince William County,VA,38.7234,-77.5418,1863,10,14,1863,10,14,1,1,8383,17218,,,,,540,,,,1380,,,,,,,,
Battle of Brown's Mill,Coweta County,GA,33.35,-84.76,1864,7,30,1864,7,30,1,2,,,,,,,100,,,,50,,,,,,,,
Battle of Buck Head Creek,Jenkins County,GA,32.8991,-82.0255,1864,11,28,1864,11,28,1,1,5000,2000,,,,,46,,,,600,,,,,,,,
Battle of Buckland Mills,Fauquier County,VA,38.7747,-77.692,1863,10,19,1863,10,19,1,2,,,,,,,,,,,,,,,,,,,230
Battle of Buffington Island,Portland,OH,38.991111,-81.771389,1863,7,19,1863,7,19,1,1,3000,1700,,,,25,25,100,750,52,902,,,,,,,,
Battle of Bull's Gap,Hamblen County,TN,36.252,-83.081,1864,11,13,1864,11,13,1,2,,2400,,,,,241,,,,,,,,,,,,
Battle of Byram's Ford,Kansas City,MO,39.0228,-94.5307,1864,10,22,1864,10,23,1,1,16000,16000,,,,,,,,,,,,,,,,,
Battle of Camden Point,Camden Point,MO,39.453333,-94.745278,1864,7,13,1864,7,13,1,1,700-1000,200-300,,25,,2,27,1,,1,2,,,,,,,,
Battle of Camp Allegheny,Pocahontas County,WV,38.473889,-79.724444,1861,12,13,1861,12,13,1,4,Brigades,Brigades,,,,,137,97,23,25,145,,,,,,,,
Battle of Camp Wildcat,Laurel County,KY,37.11,-84.12,1861,10,21,1861,10,21,1,1,7000,5400,,20,,5,25,,42,11,53,,,,,,,,
Battle of Campbell's Station,Knox County,TN,35.8846,-84.1539,1863,11,16,1863,11,16,1,1,,,,,,,400,,,,570,,,,,,,,
Battle of Canada Alamosa,Canada Alamosa,NM,36.5425335,-106.160166,1861,9,24,1861,9,25,1,1,100,112,,6,23,4,33,7,,2,9,,,,,,,,
Battle of Cane Hill,Washington County,AR,35.9066,-94.3998,1862,11,28,1862,11,28,1,2,5000,2000,,,,,41,,,,45,,,,,,,,
Battle of Canyon de Chelly,Canyon de Chelly National Monument,AZ,36.155278,-109.508889,1864,1,12,1864,1,14,2,1,389,,1000-8000,,,,,,,,,5,234,23,262,,,,
Battle of Cape Girardeau,Cape Girardeau County,MO,37.3132,-89.5514,1863,4,26,1863,4,26,1,1,4000,5000,,,,,12,,,,325,,,,,,,,
Battle of Carlisle,Carlisle,PA,40.2011,-77.1845,1863,7,1,1863,7,1,1,4,1000,3 cavalry brigades,,12,,1,13,,,,8,,,,,,,,
Battle of Carnifex Ferry,Nicholas County,WV,38.208889,-80.938611,1861,9,10,1861,9,10,1,1,5000,2000,,141,,17,158,30,,,30+,,,,,,,,
Battle of Carthage,Carthage,MO,37.2,-94.34,1861,7,5,1861,7,5,1,2,1100,4000 armed 2000 unarmed,,,,,44,,,,200,,,,,,,,
Battle of Cedar Creek,Frederick County,VA,39.02081,-78.3038,1864,10,19,1864,10,19,1,1,46980,27446,,,1591,644,5665,1540,1050,320,2910,,,,,,,,
Battle of Cedar Mountain,Culpeper County,VA,38.4014,-78.0658,1862,8,9,1862,8,9,1,2,8030,16868,,1445,594,314,2353,1107,,231,1338,,,,,,,,
Battle of Chaffin's Farm and New Market Heights,Henrico County,VA,37.4268,-77.3729,1864,9,29,1864,9,30,1,1,26600,14500,,2317,649,391,3372,1250,500,250,2000,,,,,,,,
Battle of Chalk Bluff,Dunklin County,MO,36.47726,-90.15883,1863,5,1,1863,5,2,1,1,10000,2000,,44,53,23,120,60,120,30,210,,,,,,,,
Battle of Champion Hill,Hinds County,MS,32.3296,-90.5303,1863,5,16,1863,5,16,1,1,32000,22000,,1844,187,410,2457,1018,2441,381,3840,,,,,,,,
Battle of Chancellorsville,Spotsylvania County,VA,38.3105,-77.6484,1863,4,30,1863,5,6,1,2,133868,60892,,9762,5919,1606,17287,9081,2018,1665,13303,,,,,,,,
Battle of Chantill,Fairfax County,VA,38.86451,-77.36949,1862,9,1,1862,9,1,1,4,6000,20000,,,,,1300,,,,800,,,,,,,,
Battle of Charleston (Missouri),Charleston,MO,36.921389,-89.346389,1861,8,19,1861,8,19,1,1,,,,,,,,,,,,,,,,,,,
Battle of Charleston (Virginia),Charleston,VA,38.347222,-81.633333,1862,9,13,1862,9,13,1,2,,,,,,,,,,,,,,,,,,,
Battle of Cheat Mountain,Pocahontas County,WV,38.621389,-79.880556,1861,9,12,1861,9,15,1,1,3000,5000,,,,,88,,,,90,,,,,,,,
Battle of Cherbourg,off Cherbourg,France,49.7525,-1.695,1864,6,19,1864,6,19,1,1,1 screw sloop-of-war,1 screw sloop-of-war,,2,,1,3,,70,40,110,,,,,,,,
Battle of Chickamauga,Catoosa County,GA,34.9176,-85.2606,1863,9,18,1863,9,20,1,2,60000,65000,,9756,4757,1657,16170,14674,1468,2312,18454,,,,,,,,
Battle of Chickasaw Bayou,Warren County,MS,32.399,-90.854,1862,12,26,1862,12,29,1,2,30720,13792,,1005,563,208,1776,134,10,63,187,,,,,,,,
Battle of Chustenahlah,Osage County,OK,36.3878,-96.0752,1861,12,26,1861,12,26,3,2,,1380,1700,,,,,40,,9,49,,,250,250,,,,
Battle of Chusto-Talasah,Tulsa County,OK,36.2823,-95.9502,1861,12,9,1861,12,9,3,2,,1300,2000-2500,,,,,37,,30,67,,,9,500,,,,
Battle of Clark's Mill,Douglas County,MO,36.9207,-92.4888,1862,11,7,1862,11,7,1,2,100,1000,,37,,9,46,,,,0,,,,,,,,
Battle of Cloyd's Mountain,Pulaski County,VA,37.174583,-80.709,1864,5,9,1864,5,9,1,1,6100,2400,,,,,688,,,,538,,,,,,,,
Battle of Cockle Creek,Chincoteague,VA,37.934722,-75.367778,1861,10,5,1861,10,5,1,1,98,300,,,,,,,,,,,,,,,,,
Battle of Cockpit Point,Prince William County,VA,38.5586,-77.2642,1862,1,3,1862,1,3,1,4,2 gunboats,50,,,,,,,,,,,,,,,,,
Battle of Cold Harbor,Hanover County,VA,37.59,-77.285,1864,5,31,1864,6,12,1,2,117000,62000,,9077,1816,1845,12738,3376,1123,788,5287,,,,,,,,
Battle of Cole Camp,Benton County,MO,38.3,-93.29,1861,6,19,1861,6,19,1,2,400-600,350,,60,25,35,120,25,,7,32,,,,,,,,
Battle of Collierville,Shelby County,TN,35.044,-89.6645,1863,11,3,1863,11,3,1,1,850,2500,,,,,60,,,,95,,,,,,,,
Battle of Columbia,Maury County,TN,35.6163,-87.0488,1864,11,24,1864,11,29,1,2,28000,35000,,,,,,,,,,,,,,,,,
Battle of Columbus,Girard,AL,32.467,-84.997,1865,4,16,1865,4,16,1,1,13500,3500,,,,,60,,,,80,,,,,,,,
Battle of Compton's Ferry,Grand River,MO,39.743333,-93.6275,1862,8,11,1862,8,11,1,1,,1200-1500,,,,,0,,,,,,,,,,,,
Battle of Cool Spring,Clarke County,VA,39.1457,-77.865,1864,7,17,1864,7,18,1,2,5000,8000,,,,,422,,,,397,,,,,,,,
Battle of Corrick's Ford,Tucker County,WV,39.087778,-79.685,1861,7,13,1861,7,13,1,1,20000,4500,,,,,53,,600,20,620,,,,,,,,
Battle of Corydon,Corydon,IN,38.199,-86.129,1863,7,9,1863,7,9,1,2,400,1800,,12,355,4,371,40,,11,51,,,,,,,,
Battle of Cotton Plant,Woodruff County,AR,35.0365,-91.293,1862,7,7,1862,7,7,1,1,400,5000,,,,,63,,,,245,,,,,,,,
Battle of Cove Mountain,Wythe County,VA,37.0092,-81.07322,1864,5,10,1864,5,10,1,4,2500,4000,,,,,,,,,,,,,,,,,300
Battle of Crampton's Gap/ Burkittsville,Frederick County,MD,39.406,-77.6398,1862,9,14,1862,9,14,1,1,12800,2100,,416,2,115,533,759,,130,887,,,,,,,,
Battle of Cross Keys,Rockingham County,VA,38.3579,-78.8438,1862,6,8,1862,6,8,1,2,11500,5800,,,,,664,,,,287,,,,,,,,
Battle of Cumberland Church,Cumberland County,VA,37.3464,-78.3866,1865,4,7,1865,4,7,1,2,12000,12000,,,,,645,,,,255,,,,,,,,
Battle of Cynthiana,Cynthiana,KY,38.407,-84.3056,1864,6,11,1864,6,12,1,1,3450,1200,,,,,1092,,,,1000,,,,,,,,
Battle of Dallas,Paulding County,GA,33.9127,-84.828,1864,5,26,1864,6,1,1,1,80000,40000,,,,,2400,,,,3000,,,,,,,,
Battle of Dalton,Whitfield County,GA,34.7889,-84.9807,1864,8,14,1864,8,15,1,1,800,5000,,55,,40,95,,,,150,,,,,,,,
Battle of Dandridge,Jefferson County,TN,36.0472,-83.3493,1864,1,17,1864,1,17,1,2,,,,,,,150,,,,,,,,,,,,
Battle of Darbytown Road,Henrico County,VA,37.483,-77.3574,1864,10,7,1864,10,7,1,2,X Corps,Corps,,358,43,36,437,,,,513,,,,,,,,
Battle of Darbytown and New Market Roads,Henrico County,VA,37.4576,-77.3467,1864,10,7,1864,10,7,1,1,X Corps,16000,,253,156,49,458,,,,700,,,,,,,,
Battle of Davis's Cross Roads,Dade County,GA,34.7557,-85.368,1863,9,10,1863,9,11,1,4,8000,12000,,,,,,,,,,,,,,,,,
Battle of Day's Gap,Cullman County,AL,34.3096,-87.011,1863,4,30,1863,4,30,1,1,1500,600,,,,,23,,,,65,,,,,,,,
Battle of Dead Buffalo Lake,Kidder County,ND,46.8961,-99.7846,1863,7,26,1863,7,26,2,1,2056,,1600,,,1,1,,,,,,,15,15,,,,
Battle of Decatur,Decatur,AL,34.614,-86.986,1864,10,26,1864,10,29,1,1,5000,39000,,,,,155,,,,450,,,,,,,,
Battle of Devil's Backbone,Sebastian County,AR,35.1785,-94.3106,1863,9,1,1863,9,1,1,1,1500,1250,,,,,16,,,,65,,,,,,,,
Battle of Dinwiddie Court House,Dinwiddie County,VA,37.07725,-77.58711,1865,3,31,1865,3,31,1,2,9000,10600,,,,,354,,,,760,,,,,,,,
Battle of Dove Creek,Tom Green County,TX,31.41,-100.46,1865,1,16,1865,1,16,3,3,,486,600,,,,,19,,22,41,,,14,14,,,,
Battle of Dover,Stewart County,TN,36.48485,-87.85747,1863,2,3,1863,2,3,1,1,800,2500,,,,,126,,,,670,,,,,,,,
Battle of Dranesville,Fairfax County,VA,38.995472,-77.337194,1861,12,20,1861,12,20,1,1,5000,4000,,,,,71,,,,230,,,,,,,,
Battle of Drewry's Bluff,Chesterfield County,VA,37.4211,-77.4229,1862,5,15,1862,5,15,1,2,3 ironclad warship 2 gunboats,7 artillery pieces 1 Fort Darling 1 shore battery,,,,24,24,,,15,15,,,,,,,,
Battle of Droop Mountain,Pocahontas County,WV,38.1128,-80.274,1863,11,6,1863,11,6,1,1,5000,1200,,,,,119,,,,275,,,,,,,,
Battle of Dry Wood Creek,Vernon County,MO,37.8197,-94.4862,1861,9,2,1861,9,2,1,2,600,,,,,,14,16,,4,20,,,,,,,,
Battle of Elizabeth City,Camden County,NC,36.2742,-76.1421,1862,2,10,1862,2,10,1,1,13 gunboats,34,,7,,2,9,7,34,5,46,,,,,,,,
Battle of Elkin's Ferry,Clark County,AR,33.930556,-93.357222,1864,4,3,1864,4,4,1,1,8500,7500,,,,,38,,,,54,,,,,,,,
Battle of Eltham's Landing,New Kent County,VA,37.5002,-76.8423,1862,5,7,1862,5,7,1,4,11300,11000,,,,,194,,,,48,,,,,,,,
Battle of Ezra Church,Fulton County,GA,33.752778,-84.439167,1864,7,28,1864,7,28,1,1,13266,18450,,,,,642,,,,3000,,,,,,,,
Battle of Fair Garden,Sevier County,TN,35.8645,-83.5096,1864,1,27,1864,1,27,1,1,1 cavalry division,1 cavalry division,,,,,100,,,,165,,,,,,,,
Battle of Fairfield near Fairfield Gap,North of Fairfield,PA,39.787222,-77.369444,1863,7,3,1863,7,3,1,2,400,1050,,28,208,6,242,21,5,8,34,,,,,,,,
Battle of Fisher's Hill,Shenandoah County,VA,38.9838,-78.3959,1864,9,21,1864,9,22,1,1,35000-40000,9500,,,,,528,,,,1234,,,,,,,,
Battle of Five Forks,Five Forks,VA,37.139444,-77.622778,1865,4,1,1865,4,1,1,1,22000,10600,,,,,830,,,,2950,,,,,,,,
Battle of Folck's Mill,Allegany County,MD,39.6639,-78.753,1864,8,1,1864,8,1,1,4,2400,5200,,3,,2,5,40-50,,20-25,60-75,,,,,,,,
Battle of Fort Anderson,Craven County,NC,35.1383,-77.0358,1863,3,13,1863,3,15,1,1,45000,12000,,,,,,,,,,,,,,,,,7
Battle of Fort Bisland,St. Mary Parish,LA,29.7101,-91.351,1863,4,12,1863,4,13,1,1,,,,,,,234,,,,450,,,,,,,,
Battle of Fort Blakely,Baldwin County,AL,30.742408,-87.927039,1865,4,2,1865,4,9,1,1,45000,4000,,,,,629,,,,2900,,,,,,,,
Battle of Fort Brooke,Tampa,FL,28.00062,-82.47368,1863,10,16,1863,10,18,1,1,,,,,,,16,,,,,,,,,,,,
Battle of Fort Buchanan,Fort Buchanan,AZ,31.6575,-110.706944,1865,2,17,1865,2,17,2,3,10,,75,1,,1,2,,,,,,,2,2,,,,
Battle of Fort Davidson,Iron County,MO,37.6194,-90.6415,1864,9,27,1864,9,27,1,1,1500,12000,,,,,184,,,,1500,,,,,,,,
Battle of Fort De Russy,Fort DeRussy,LA,31.1838,-92.05436,1864,3,14,1864,3,14,1,1,10000,350,,,2,48,50,5,317,2,324,,,,,,,,
Battle of Fort Donelson,Fort Donelson,TN,36.49381,-87.85601,1862,2,11,1862,2,16,1,1,24531,16171,,1976,208,507,2691,1127,12392,327,13846,,,,,,,,
Battle of Fort Henry,Stewart County,TN,36.5186,-88.0391,1862,2,6,1862,2,6,1,1,15000,3000-3400,,,,,40,,,,79,,,,,,,,
Battle of Fort McAllister,Bryan County,GA,31.8888,-81.1941,1864,12,13,1864,12,13,1,1,4000,120,,,,,134,,,,71,,,,,,,,
Battle of Fort Myers,Lee County,FL,26.631667,-81.857222,1865,2,20,1865,2,20,1,1,300,250,,3,,1,4,1,,,1,,,,,,,,
Battle of Fort Pillow,Lauderdale County,TN,35.6324,-89.8487,1864,4,12,1864,4,12,1,2,600,2500,,,,182,182,86,,14,100,,,,,,,,
Battle of Fort Pulaski,Chatham County,GA,32.02729,-80.89096,1862,4,10,1862,4,11,1,1,,,,,,1,1,,363,,363,,,,,,,,
Battle of Fort Ridgely,Nicollet County,MN,44.4511,-94.7308,1862,8,20,1862,8,22,2,1,210,,800-1000,14,,4,18,,,,,5,,2,7,,,,
Battle of Fort Sanders,Knox County,TN,35.9589,-83.9338,1863,11,29,1863,11,29,1,1,440,3000,,5,,8,13,458,226,129,813,,,,,,,,
Battle of Fort Smith,Fort Smith,AR,35.368611,-94.398611,1864,7,31,1864,7,31,1,1,7800,5200,,6,11,4,21,4,,2,6,,,,,,,,
Battle of Fort Stedman,Petersburg,VA,37.226,-77.371,1865,3,25,1865,3,25,1,1,14898,10000,,450,522,72,1044,2400,1000,600,4000,,,,,,,,
Battle of Fort Stevens,Washington,D.C.,38.9641,-77.0288,1864,7,11,1864,7,12,1,1,9600,10000,,,,,373,,,,400-500,,,,,,,,
Battle of Fort Sumter,Charleston,SC,32.75241,-79.87496,1861,4,12,1861,4,14,1,2,85,500,,,,,0,,,,0,,,,,,,,
Battle of Forts Jackson and St. Philip,Plaquemines Parish,LA,29.3573,-89.4594,1862,4,18,1862,4,28,1,1,,,,,,,229,,,,782,,,,,,,,
Battle of Franklin,Franklin,TN,35.9174,-86.8733,1864,11,30,1864,11,30,1,1,27000,27000,,1033,1104,189,2326,3800,702,1750,6252,,,,,,,,
Battle of Franklin (1863),Franklin,TN,35.914,-86.864,1863,4,10,1863,4,10,1,1,Army of Kentucky,1st Cavalry Corps Army of Tennessee,,,,,100,,,,137,,,,,,,,
Battle of Fredericksburg,Spotsylvania County and Fredericksburg,VA,38.2995,-77.4705,1862,12,11,1862,12,15,1,2,122009,78513,,9600,1769,1284,12653,3743,,408,4201,,,,,,,,
Battle of Fredericktown,Madison County,MO,37.5434,-90.2969,1861,10,17,1861,10,21,1,1,2500-3500,,,,,,,40,80,25,145,,,,,,,,
Battle of Front Royal,Warren County,VA,38.936,-78.1923,1862,5,23,1862,5,23,1,2,1063,3000,,,691,83,773,,,,36,,,,,,,,
Battle of Gaines's Mill,Hanover County,VA,37.579,-77.2872,1862,6,27,1862,6,27,1,2,34214,57018,,3107,2836,894,6837,6402,108,1483,7993,,,,,,,,
Battle of Gainesville,Gainesville,FL,29.651994,-82.325067,1864,8,17,1864,8,17,1,2,342,290,,,86,28,114,5,,3,8,,,,,,,,
Battle of Galveston,Galveston,TX,29.339536,-94.767036,1863,1,1,1863,1,1,1,2,6 gunboats,2 gunboats,,,400,,400,117,,26,143,,,,,,,,
Battle of Galveston Harbor,Galveston,TX,29.3397,-94.774,1862,10,4,1862,10,4,1,1,revenue cutter 1 gunboat 1 mortar boat,fort 1 shore battery,,,,,0,,,,0,,,,,,,,
Battle of Garnett's & Golding's Farm,Henrico County,VA,37.5532,-77.3145,1862,6,27,1862,6,28,1,4,2600,5200,,,,,189,,,,438,,,,,,,,
Battle of Georgia Landing,Lafourche Parish,LA,29.8604,-90.9811,1862,10,27,1862,10,27,1,1,4000,1392,,,,,86,,,,229,,,,,,,,
Battle of Gettysburg,Gettysburg,PA,39.811,-77.225,1863,7,1,1863,7,3,1,1,93921,71699,,14529,5365,3155,23049,12693,5830,4708,23231,,,,,,,,
Battle of Glasgow,Glasgow,MO,39.226,-92.846,1864,10,15,1864,10,15,1,2,800,1800,,,,,50-400,,,,50,,,,,,,,
Battle of Glendale,Henrico County,VA,37.43791,-77.23812,1862,6,30,1862,6,30,1,4,40000,45000,,1696,1804,297,3797,2814,221,638,3673,,,,,,,,
Battle of Globe Tavern,Petersburg,VA,37.1747,-77.4203,1864,8,18,1864,8,21,1,1,20000,15000,,1148,2897,251,4296,990,419,211,1620,,,,,,,,
Battle of Glorieta Pass,Santa Fe County,NM,35.572183,-105.753908,1862,3,26,1862,3,28,1,1,1300,1100,,78,3,51,147,80,92,50,222,,,,,,,,
Battle of Gloucester Point,Gloucester Point,VA,37.27,-76.498611,1861,5,7,1861,5,7,1,4,1 gunboat,60-70,,,,,0,,,,0,,,,,,,,
Battle of Goldsborough Bridge,Wayne County,NC,35.3396,-78.0288,1862,12,17,1862,12,17,1,1,,,,,,,,,,,,,,,,,,,220
Battle of Goodrich's Landing,East Carroll Parish,LA,32.7432,-91.1791,1863,6,29,1863,6,30,1,4,,,,,,,120,,,,,,,,,,,,
Battle of Grand Gulf,Grand Gulf,MS,32.029167,-91.056111,1863,4,29,1863,4,29,1,2,7 ironclad warships 7 Companies,,,57,,18,75,19,,3,22,,,,,,,,
Battle of Greenbrier River,Pocahontas County,WV,38.534167,-79.767778,1861,10,3,1861,10,3,1,4,5000,1800,,35,,8,43,33,,6,39,,,,,,,,
Battle of Grimball's Landing,James Island,SC,32.698,-79.983,1863,7,16,1863,7,16,1,4,3800,3000,,,14,30,44,12,3,3,18,,,,,,,,
Battle of Griswoldville,Griswoldville,GA,32.866756,-83.469486,1864,11,22,1864,11,22,1,1,1500,4500,,79,2,13,94,472,600,51,1123,,,,,,,,
Battle of Guard Hill,Warren County,VA,38.953056,-78.200139,1864,8,16,1864,8,16,1,4,Brigades,Brigades,,,,,71,,,,480,,,,,,,,
Battle of Hampton Roads,Norfolk,VA,36.983333,-76.319722,1862,3,8,1862,3,9,1,4,1 ironclad 5 wooden frigates,1 ironclad 2 wooden warships 1 gunboat 2 tenders,,108,,261,369,17,,78,95,,,,,,,,
Battle of Hancock,Washington County,MD,39.6957,-78.177,1862,1,5,1862,1,5,1,4,,,,,,,,,,,,,,,,,,,25
Battle of Hanover,Hanover,PA,39.80099,-76.98247,1863,6,30,1863,6,30,1,4,5000,6000,,,,,215,,,,117,,,,,,,,
Battle of Hanover Court House,Hanover County,VA,37.7222,-77.3763,1862,5,27,1862,5,27,1,1,12000,4000,,,,,355-397,,,,930,,,,,,,,
Battle of Harpers Ferry,Jefferson County,WV,39.3228,-77.7302,1862,9,12,1862,9,15,1,2,14000,21000-26000,,173,12419,44,12636,247,,39,286,,,,,,,,
Battle of Hartsville,Hartsville,TN,36.3777,-86.1743,1862,12,7,1862,12,7,1,2,2400,1300,,,,,2096,,,,139,,,,,,,,
Battle of Hartville,Wright County,MO,37.2511,-92.5111,1863,1,9,1863,1,11,1,4,750,,,64,7,7,78,96,3,12,111,,,,,,,,
Battle of Hatcher's Run,Dinwiddie County,VA,37.1305,-77.4853,1865,2,5,1865,2,7,1,1,34517,13835,,1181,187,171,1539,,,,1161,,,,,,,,
Battle of Hatchie Bridge,Hardeman County,TN,35.030833,-88.795556,1862,10,5,1862,10,5,1,1,,,,,,,500,,,,400,,,,,,,,
Battle of Hatteras Inlet Batteries,near Cape Hatteras,NC,35.1864,-75.7645,1861,8,28,1861,8,29,1,1,935,900,,2,,1,3,20,691,4,715,,,,,,,,
