name,first_name,last_name,birth_city,birth_state,birth_country,death_city,death_state,death_country,year_start,year_end,birth_year,birth_month,birth_day,death_year,death_month,death_day
Myron Dupree,Myron,Dupree,New York City,NY,USA,,,,1986,1990,1961,10,15,,,
Ryan Durand,Ryan,Durand,Worcester,NH,USA,,,,2010,2011,1985,11,17,,,
Pete Duranko,Pete,Duranko,Johnstown,PA,USA,,,,2010,2011,1943,12,15,2011,7,8
Justin Durant,Justin,Durant,Florence,SC,USA,,,,2010,2011,1985,9,21,,,
Don Durdan,Don,Durdan,Arcata,CA,USA,,,,2010,2011,1920,9,21,1971,6,28
Clarence Duren,Clarence,Duren,Compton,CA,USA,,,,2010,2011,1950,12,9,,,
Kris Durham,Kris,Durham,,,,,,,2010,2011,1988,3,17,,,
Steve Durham,Steve,Durham,Greer,SC,USA,,,,2010,2011,1958,10,11,,,
Jack Durishan,Jack,Durishan,,,,,,,2010,2011,1922,7,7,1977,5,13
Charlie Durkee,Charlie,Durkee,Tulsa,OK,USA,,,,2010,2011,1944,6,25,,,
John Durko,John,Durko,Mahanoy City,PA,USA,,,,2010,2011,1914,7,23,d,,
Sandy Durko,Sandy,Durko,Los Angeles,CA,USA,,,,2010,2011,1948,8,29,,,
Jeff Durkota,Jeff,Durkota,Pittsburgh,PA,USA,,,,2010,2011,1923,12,20,2013,3,5
Michael Durrette,Michael,Durrette,Charlottesville,VA,USA,,,,2010,2011,1957,8,11,,,
Mark Dusbabek,Mark,Dusbabek,Fairbault,MN,USA,,,,1989,1991,1964,6,23,,,
Brad Dusek,Brad,Dusek,Temple,TX,USA,,,,1989,1991,1950,12,13,,,
Bill Dusenbery,Bill,Dusenbery,Washington,DC,USA,,,,1989,1991,1948,9,15,,,
Joe DuSossoit,Joe,DuSossoit,Rochester,NY,USA,,,,1989,1991,1895,10,2,1969,4,4
Bill Dutton,Bill,Dutton,Morgantown,WV,USA,,,,1946,1946,1918,12,9,1951,8,2
John Dutton,John,Dutton,Rapid City,SD,USA,,,,1946,1946,1951,2,6,,,
Earl Duvall,Earl,Duvall,Duvall,OH,USA,,,,1924,1926,1899,6,20,1966,8,6
Dusty Dvoracek,Dusty,Dvoracek,Lake Dallas,TX,USA,,,,2007,2008,1981,3,3,,,
Ben Dvorak,Ben,Dvorak,,,,,,,2007,2008,1895,1,20,1974,5,7
Rick Dvorak,Rick,Dvorak,Spearville,KS,USA,,,,2007,2008,1952,4,21,,,
Tim Dwight,Tim,Dwight,Iowa City,IA,USA,,,,1998,2007,1975,7,13,,,
Dan Dworsky,Dan,Dworsky,Minneapolis,MN,USA,,,,1949,1949,1927,10,4,,,
Bob Dwyer,Bob,Dwyer,Orange,NJ,USA,,,,1929,1929,1905,8,30,1974,3,27
Jack Dwyer,Jack,Dwyer,Los Angeles,CA,USA,,,,1929,1929,1927,1,15,1997,10,15
Jonathan Dwyer,Jonathan,Dwyer,Marietta,GA,USA,,,,1929,1929,1989,7,26,,,
Mike Dwyer,Mike,Dwyer,Boston,MA,USA,,,,1929,1929,1963,6,13,,,
Mike Dyal,Mike,Dyal,San Antonio,TX,USA,,,,1989,1993,1966,5,20,,,
Ernest Dye,Ernest,Dye,Greenwood,SC,USA,,,,1993,1997,1971,7,15,,,
Les Dye,Les,Dye,Forestville,NY,USA,,,,1993,1997,1916,7,15,2000,8,11
Tony Dye,Tony,Dye,,,,,,,1993,1997,1990,2,11,,,
Deon Dyer,Deon,Dyer,Chesapeake,VA,USA,,,,1993,1997,1977,10,2,,,
Henry Dyer,Henry,Dyer,Baton Rouge,LA,USA,,,,1993,1997,1945,1,28,,,
Ken Dyer,Ken,Dyer,Ann Arbor,MI,USA,,,,1993,1997,1946,3,16,2010,3,7
Donald Dykes,Donald,Dykes,Independence,MO,USA,,,,1979,1982,1955,8,24,,,
Keilen Dykes,Keilen,Dykes,Youngstown,OH,USA,,,,1979,1982,1984,1,26,,,
Sean Dykes,Sean,Dykes,New Orleans,LA,USA,,,,1979,1982,1964,8,8,,,
Chris Dyko,Chris,Dyko,Champaign,IL,USA,,,,1979,1982,1966,3,16,2014,12,28
Zac Dysert,Zac,Dysert,,,,,,,2013,2013,1990,2,8,,,
Andre Dyson,Andre,Dyson,Logan,UT,USA,,,,2013,2013,1979,5,25,,,
Kevin Dyson,Kevin,Dyson,Logan,UT,USA,,,,2013,2013,1975,6,23,,,
Matt Dyson,Matt,Dyson,La Plata,MD,USA,,,,2013,2013,1972,8,1,,,
Anthony E. Parker,Anthony,E.,Denver,CO,USA,,,,1957,1972,1975,12,4,,,
Bill E. Brown,Bill,E.,,,,Hempstead,NY,,1920,1920,1936,4,25,1989,4,18
Bill E. Johnson,Bill,E.,Chicago,IL,USA,,,,1977,1977,1968,12,9,,,
Bruce E. Davis,Bruce,E.,Rutherfordton,NC,USA,,,,1992,1994,1956,6,21,,,
Charles E. Jackson,Charles,E.,Fort Gaines,GA,USA,,,,1994,1994,1962,3,12,,,
Charlie E. Brown,Charlie,E.,Heflin,AL,USA,,,,1920,1920,1942,9,13,,,
Dave E. Washington,Dave,E.,Oroville,CA,USA,,,,1981,1981,1940,12,28,,,
