name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
Ivory,Inglewood,California,US,,,,[wwe],1961,11,26,,,,f
J.C. Ice,Sydney,New South Wales,AU,,,,"[wwe, ecw, tna, wcw]",1971,7,5,,,,m
J.J. Dillon,Trenton,New Jersey,US,,,US,"[sta, nwa, tna]",1942,6,26,,,,m
J.T. Smith,Philadelphia,Pennsylvania,US,,,,[ecw],,,,,,,m
J.W. Storm,Minneapolis,Minnesota,US,,,US,[wcw],,,,,,,m
Jack Brisco,Seminole,Oklahoma,US,Tampa,Florida,US,"[sta, nwa]",1941,9,21,2010,2,1,m
Jack Evans,Fountain Valley,California,US,,,,[tna],1982,4,2,,,,m
Jack Swagger,Perry,Oklahoma,US,,,,[wwe],1982,3,24,,,,m
Jack Victory,Atlantic City,New Jersey,US,,,,[ecw],,,,,,,m
Jackie Fargo,Concord,North Carolina,US,,,US,"[nwa, tna]",1930,6,26,2013,6,24,m
Jackie Gayda,Strongsville,Ohio,US,,,,"[wwe, tna]",1981,11,3,,,,f
Jackson Andrews,West Monroe,Louisiana,US,,,US,[wwe],1979,11,5,,,,m
Jacqueline Moore,Dallas,Texas,US,,,,"[wwe, wcw]",1964,1,6,,,,f
Jacques Rougeau,Saint-Sulpice,Quebec,CA,,,,"[wwe, sta, nwa]",1960,6,13,,,,m
Jade,Fontana,California,US,,,US,[tna],1989,4,16,,,,f
Jado,Minato,Tokyo,JP,,,US,[ecw],1968,9,28,,,,m
Jake Roberts,Gainesville,Texas,US,,,,"[wwe, sta, ecw, nwa, wcw]",1955,5,30,,,,m
James Dudley,,,US,,,US,[wwe],1910,5,12,2004,6,1,m
James Jefferson,Anderson,South Carolina,US,,,US,[wcw],,,,2013,2,8,m
James Maritato,Howard Beach,New York,US,,,,"[wwe, ecw]",1972,3,12,,,,m
James Mason,London,England,GB,,,,[tna],1979,7,22,,,,m
James Storm,Franklin,Tennessee,US,,,,"[tna, wcw]",1977,6,1,,,,m
James Yun,Los Angeles,California,US,,,,"[wcw, wwe, tna]",1981,5,13,,,,m
Jamie Noble,Hanover,West Virginia,US,,,,"[wwe, wcw]",1976,12,23,,,,m
Jason Ayers,Havelock,North Carolina,US,,,US,[wwe],1982,1,13,,,,m
Jason Cross,Macon,Georgia,US,,,,[tna],1979,6,13,,,,m
Jason Jordan,Tinley Park,Illinois,US,,,,[wwe],1988,9,28,,,,m
Jason Knight,Waterbury,Connecticut,US,,,US,"[ecw, tna]",1963,12,12,,,,m
Jason Rumble,Malden,Massachusetts,US,,,US,[tna],1971,,,,,,m
Jason the Terrible,Calgary,Alberta,CA,,,,[ecw],1960,7,31,,,,m
Jay Bradley,Dekalb,Illinois,US,,,,[wwe],1980,11,17,,,,m
Jay Briscoe,Salisbury,Maryland,US,,,,[tna],1984,1,25,,,,m
Jay Youngblood,Amarillo,Texas,US,Melbourne,Victoria,AU,[nwa],1955,6,21,1985,9,2,m
Jazz,New Orleans,Louisiana,US,,,,"[wwe, ecw]",1973,8,27,,,,f
Jean-Louis Cormier,,,US,Moncton,New Brunswick,CA,[nwa],1942,6,24,2008,5,25,m
