name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
Randy Rose,Nashville,Tennessee,US,,,US,[nwa],1956,7,19,,,,m
Randy Savage,Columbus,Ohio,US,Seminole,Florida,US,"[wwe, wcw]",1952,11,15,2011,5,20,m
Ranjin Singh,San Diego,California,US,,,US,[wwe],1975,11,17,,,,m
Raquel,Curitiba,Paraná,BR,,,,[tna],1986,1,17,,,,f
Raven,Lake Worth,Florida,US,,,,"[wwe, wcw]",1964,9,8,,,,m
Ray Candy,Decatur,Georgia,US,Decatur,Georgia,US,"[nwa, wcw]",1951,12,3,1994,5,23,m
Ray Gordy,Chattanooga,Tennessee,US,,,,"[wwe, tna]",1979,3,23,,,,m
Ray Gunkel,Chicago,Illinois,US,Savannah,Georgia,US,[nwa],1924,2,16,1972,8,1,m
Ray Odyssey,San Diego,California,US,,,,[ecw],1968,1,31,,,,m
Ray Steele,Yorkshire,England,GB,,,,[sta],,,,,,,m
Ray Stevens,Point Pleasant,West Virginia,US,Fremont,California,US,"[wwe, sta, nwa, awa]",1935,9,5,1996,5,3,m
Raymond Rougeau,Saint-Sulpice,Quebec,CA,,,,[wwe],1955,2,18,,,,m
Rebecca Budig,Cincinnati,Ohio,US,,,,[wwe],1973,6,26,,,,f
Rebel,Owasso,Oklahoma,US,,,,[tna],1978,9,8,,,,f
Reby Sky,Flushing,New York,US,,,,[tna],1986,8,6,,,,f
Reckless Youth,Mount Holly Township,New Jersey,US,,,US,[ecw],,9,18,,,,m
Red Bastien,Bottineau,North Dakota,US,Minnetonka,Minnesota,US,"[sta, nwa, awa]",1931,1,27,2012,8,11,m
Red Berry,Conway Springs,Kansas,US,Pittsburg,Kansas,US,[nwa],1906,11,20,1973,7,21,m
Reggie Bennett,San Diego,California,US,,,US,[ecw],1961,1,24,,,,m
René Duprée,Moncton,New Brunswick,CA,,,,[wwe],1983,12,15,,,,m
Rene Goulet,Quebec City,Quebec,CA,,,,"[wwe, sta]",1932,7,12,,,,m
Reno,Buffalo,New York,US,,,,[wcw],,,,,,,m
Rey Bucanero,Mexico City,Mexican Federal District,MX,,,US,[tna],1974,7,19,,,,m
Rey Mysterio Jr.,Chula Vista,California,US,,,US,"[wwe, ecw]",1974,12,11,,,,m
Rhino,Detroit,Michigan,US,,,,"[wwe, ecw]",1975,10,7,,,,m
Rhonda Sing,Calgary,Alberta,CA,Calgary,Alberta,US,"[wwe, sta, wcw]",1961,2,21,2001,7,27,f
Ric Flair,Memphis,Tennessee,US,,,,"[wwe, nwa, awa, wcw]",1949,2,25,,,,m
Ric Savage,Sylva,North Carolina,US,,,,[ecw],1969,6,5,,,,m
Ricardo Rodriguez,Los AllllCalifornia,,US,,,,[wwe],1986,2,17,,,,m
Rich Swann,Baltimore,Maryland,US,,,US,[wwe],1991,2,15,,,,m
Rick Bognar,Calgary,Alberta,CA,,,,"[wwe, ecw]",1970,1,16,,,,m
Rick Fuller,Middleboro,Massachusetts,US,,,US,[wcw],,,,,,,m
Rick Link,Lexington,North Carolina,US,,,US,[sta],1959,2,28,,,,m
Rick Martel,Quebec City,Quebec,CA,,,US,"[wwe, sta, awa, wcw]",1956,3,18,,,,m
Rick McGraw,Charlotte,North Carolina,US,Fair Haven East,Connecticut,US,"[sta, nwa]",1955,3,19,1985,11,1,m
Rick Michaels,Atlanta,Georgia,US,,,US,"[ecw, tna]",1974,9,8,,,,m
Rick Rude,St. Peter,Minnesota,US,Alpharetta,Georgia,US,"[wwe, ecw, nwa, wcw]",1958,12,7,1999,4,20,m
Rick Steiner,Bay City,Michigan,US,,,,"[wwe, ecw, wcw]",1961,3,9,,,,m
Ricky Banderas,Bayamón,,PR,,,US,"[ecw, tna]",1975,5,25,,,,m
Ricky Fuji,Chiba,Chiba,JP,,,,[sta],1965,9,27,,,,m
Ricky Hunter,Winnipeg,Manitoba,CA,,,US,[nwa],1936,3,1,,,,m
Ricky Morton,Nashville,Tennessee,US,,,,"[wwe, ecw, nwa, wcw]",1956,9,21,,,,m
Ricky Ortiz,Phoenix,Arizona,US,,,US,[wwe],1975,5,12,,,,m
Ricky Reyes,San Bernardino,California,US,,,,[tna],1978,8,28,,,,m
Ricky Rice,Edina,Minnesota,US,,,,[awa],1951,,,,,,m
Ricky Romero,San Bernardino,California,US,,,US,[nwa],1931,5,24,2006,1,15,m
Ricky Santana,,,US,,,,[wcw],1961,,,,,,m
Ricky Steamboat,West Point,New York,US,,,,"[wwe, wcw]",1953,2,28,,,,m
Ricky Vega,Bronx,New York,US,,,,[tna],1976,12,2,,,,m
Rico Costantino,Las Vegas,Nevada,US,,,,[wwe],1961,10,1,,,,m
Rikishi,San Francisco,California,US,,,,"[wwe, ecw]",1965,10,11,,,,m
Rip Hawk,,Indiana,US,,,US,[nwa],1930,6,6,2012,12,22,m
Rip Oliver,Portland,Oregon,US,,,,"[sta, nwa]",1952,10,6,,,,m
Rip Rogers,Seymour,Indiana,US,,,,"[sta, nwa, wcw]",1953,2,8,,,,m
Rip Sawyer,,,US,,,,[ecw],,1,26,,,,m
RJ Brewer,Framingham,Massachusetts,US,,,US,[tna],1979,7,31,,,,m
Road Dogg,Marietta,Georgia,US,,,,[wwe],1969,5,20,,,,m
Road Warrior Animal,Philadelphia,Pennsylvania,US,,,,"[wwe, nwa, wcw]",1960,1,26,,,,m
Road Warrior Hawk,St. Paul,Minnesota,US,Indian Rocks Beach,Florida,US,"[wwe, ecw, nwa, wcw]",1957,9,12,2003,10,19,m
Roadkill,,,US,,,US,"[wwe, ecw]",1976,8,10,,,,m
Rob Bartlett,Brooklyn,New York,US,,,,[wwe],1957,5,18,,,,m
Rob Conway,Pittsburgh,Pennsylvania,US,,,,[wwe],1974,11,28,,,,m
Rob Van Dam,Battle Creek,Michigan,US,,,,"[wwe, ecw, wcw]",1970,12,18,,,,m
Robbie Brookside,Liverpool,England,GB,,,,[wwe],1966,3,11,,,,m
Robbie E,Alpine,New Jersey,US,,,US,[tna],1983,10,1,,,,m
Robbie McAllister,Oban,Scotland,GB,,,,[wwe],,,,,,,m
Robbie Rage,Plymouth,Massachusetts,US,,,US,[wcw],1970,,,,,,m
Robert Fuller,Memphis,Tennessee,US,,,,"[wwe, tna]",1951,5,14,,,,m
Robert Gibson,Pensacola,Florida,US,,,,"[wwe, ecw, nwa, wcw]",1958,7,19,,,,m
Robert Maillet,Sainte-Marie-de-Kent,New Brunswick,CA,,,,[wwe],1969,10,26,,,,m
Robert Swenson,San Antonio,Texas,US,Los Angeles,California,US,[wcw],1957,1,5,1997,8,18,m
Rocco Rock,Woodbridge Township,New Jersey,US,Philadelphia,Pennsylvania,US,"[wwe, ecw, wcw]",1953,9,1,2002,9,21,m
Rockin' Rebel,West Chester,Pennsylvania,US,,,,[ecw],1966,1,13,,,,m
Rockin' Robin,,,US,,,,[wwe],1964,10,9,,,,m
Rockstar Spud,Birmingham,England,GB,,,,[tna],1983,1,30,,,,m
Rocky Johnson,Amherst,Nova Scotia,CA,,,,"[wwe, sta, nwa]",1944,8,24,,,,m
Rocky Romero,Havana,,CU,,,US,[tna],1982,10,28,,,,m
Roddy Piper,Saskatoon,Saskatchewan,CA,Hollywood,California,US,"[nwa, wcw]",1954,4,17,2015,7,31,m
Rodney,Greenwich,Connecticut,US,,,,[wwe],1971,1,1,,,,m
Rodney Mack,Lafayette,Louisiana,US,,,,"[wwe, ecw]",1970,10,12,,,,m
Rodolfo Guzmán Huerta,Tulancingo,Hidalgo,MX,,,,[nwa],1917,9,23,1984,2,5,m
Roger Anderson,Minneapolis,Minnesota,US,,,,"[nwa, wwe]",1970,,,,,,m
Roman Reigns,Pensacola,Florida,US,,,,[wwe],1985,5,25,,,,m
Romeo Cormier,,,US,,,US,[nwa],1950,,,,,,m
Romeo Roselli,White Plains,New York,US,,,,[tna],1980,9,23,,,,m
Ron Bass,Harrisburg,Arkansas,US,,,,"[wwe, nwa]",1948,12,21,,,,m
Ron Garvin,Montreal,Quebec,CA,,,US,"[wwe, nwa]",1945,3,30,,,,m
Ron Reis,San Jose,California,US,,,,[wcw],1970,4,26,,,,m
Ron Simmons,Perry,Georgia,US,,,,"[wwe, ecw, wcw]",1958,5,15,,,,m
Ronald Harris,Apopka,Florida,US,,,,"[ecw, nwa, tna, wcw, wwe]",1960,10,23,,,,m
Rory McAllister,Oban,Scotland,GB,,,,[wwe],1976,3,28,,,,m
Rosa Mendes,Vancouver,British Columbia,CA,,,US,[wwe],1979,10,25,,,,f
Rosey,,,WS,,,US,"[wwe, ecw]",1970,4,7,,,,m
Ross Hart,Calgary,Alberta,CA,,,,[sta],1960,1,3,,,,m
Roy Callender,,,BB,,,US,[sta],1944,10,31,,,,m
Roy Heffernan,Lithgow,New South Wales,AU,Sydney,New South Wales,GB,"[wwe, sta, nwa]",1925,7,12,1992,9,24,m
Rudy Dusek,Omaha,Nebraska,US,,,US,[nwa],1901,1,25,1971,,,m
Rufus R. Jones,Dillon,South Carolina,US,Kansas City,Missouri,US,[nwa],1933,7,4,1993,11,13,m
Rusher Kimura,Nakagawa,Hokkaido,JP,,,US,[nwa],1941,6,30,2010,5,24,m
Ryan Sakoda,Tokyo,,JP,,,,[wwe],1974,12,31,,,,m
Ryan Wilson,,,US,,,,[tna],,,,,,,m
Ryback,Las Vegas,Nevada,US,,,,[wwe],1981,11,10,,,,m
S.D. Jones,Antigua,British Leeward Islands,AG,Antigua,,AG,[wwe],1945,3,30,2008,10,26,m
Sabby Piscitelli,Boca Raton,Florida,US,,,,[wwe],1983,8,24,,,,m
Sable,Jacksonville,Florida,US,,,,[wwe],1967,8,8,,,,f
Sabu,Staten Island,New York,US,,,,"[wwe, ecw, wcw]",1964,12,12,,,,m
Sailor Art Thomas,Gurdon,Arkansas,US,,,US,"[sta, nwa, awa]",1924,1,30,2003,3,20,m
Sal Rinauro,,,US,,,US,[tna],1982,9,12,,,,m
Salvatore Bellomo,Hornu,,BE,,,US,"[sta, ecw]",1951,6,18,,,,m
Salvatore Sincere,Philadelphia,Pennsylvania,US,,,,"[wwe, ecw, wcw]",1966,7,9,,,,m
Sam Fatu,California,,US,,,,"[wwe, nwa]",1965,10,11,,,,m
Sam Houston,Waco,Texas,US,,,US,"[wwe, nwa]",1963,10,11,,,,m
Sami Zayn,Montreal,Quebec,CA,,,,[wwe],1984,7,12,,,,m
Samoa Joe,Orange County,California,US,,,,"[wwe, tna]",1979,3,17,,,,m
Samson Burke,Montreal,Quebec,CA,,,,"[sta, nwa]",1929,4,8,,,,m
Samula Anoaʻi,,,WS,,,US,"[ecw, wwe]",1963,5,29,,,,m
Sandy Barr,Oregon,,US,Portland,Oregon,US,[sta],1938,1,21,2007,6,2,m
Sandy Scott,Hamilton,Ontario,CA,,,US,"[sta, nwa]",1934,5,27,2010,3,11,m
Santana Garrett,Ocala,Florida,US,,,,[tna],1988,5,22,,,,m
Santino Marella,Mississauga,Ontario,CA,,,,[wwe],1974,3,14,,,,m
Sapphire,St. Louis,Missouri,US,St. Louis,Missouri,US,[wwe],1934,10,24,1996,9,10,f
Sara Del Rey,Martinez,California,US,,,,"[wwe, tna]",1980,11,13,,,,f
Sara Lee,Hope Township,Michigan,US,,,,[wwe],1992,6,7,,,,f
Sarah Stock,Winnipeg,Manitoba,CA,,,US,[wwe],1979,3,4,,,,f
Sasha Banks,Fairfield,California,US,,,,[wwe],1992,1,26,,,,f
Savio Vega,Vega Alta,,PR,,,,[wwe],1964,8,10,,,,m
Sawyer Fulton,Toledo,Ohio,US,,,US,[wwe],1990,4,2,,,,m
Scoot Andrews,Charlotte,North Carolina,US,,,US,[tna],1967,6,1,,,,m
Scott Armstrong,Marietta,Georgia,US,,,,"[wwe, tna]",1959,5,4,,,,m
Scott Casey,Amarillo,Texas,US,,,US,"[wwe, nwa]",1947,3,19,,,,m
Scott D'Amore,Windsor,Ontario,CA,,,,"[ecw, tna]",1974,8,8,,,,m
Scott Dawson,Whiteville,North Carolina,US,,,,[wwe],1984,6,30,,,,m
Scott Hall,St. Mary's County,Maryland,US,,,,"[wwe, nwa, awa]",1958,10,20,,,,m
Scott Irwin,Duluth,Minnesota,US,,,US,[wwe],1952,5,14,1987,9,5,m
Scott McGee,,,US,,,,[sta],1960,,,,,,m
Scott Norton,Minneapolis,Minnesota,US,,,US,[wcw],1958,6,15,,,,m
Scott Putski,Austin,Texas,US,,,US,"[wwe, wcw]",1966,5,22,,,,m
Scott Steiner,Bay City,Michigan,US,,,,"[wwe, ecw, wcw]",1962,7,29,,,,m
Scotty 2 Hotty,Westbrook,Maine,US,,,,"[wwe, ecw]",1973,7,2,,,,m
Scotty Riggs,Savannah,Georgia,US,,,,"[ecw, wcw]",1967,3,1,,,,m
Sean O'Haire,Atlanta,Georgia,US,Spartanburg,South Carolina,US,[wwe],1971,2,25,2014,9,8,m
Sean Waltman,Minneapolis,Minnesota,US,,,,"[wwe, wwe, wcw]",1972,7,13,,,,m
Seiji Sakaguchi,Kurume,Fukuoka,JP,,,,"[sta, nwa]",1942,2,17,,,,m
Serena Deeb,Fairfax,Virginia,US,,,US,"[wwe, tna]",1986,6,29,,,,f
Seth Delay,Cornelia,Georgia,US,,,,[tna],1985,,,,,,m
Seth Rollins,Buffalo,Iowa,US,,,,"[wwe, tna]",1986,5,28,,,,m
Sgt. Slaughter,Detroit,Michigan,US,,,US,"[wwe, wwe, nwa, awa]",1948,8,27,,,,m
Shad Gaspard,Brooklyn,New York,US,,,,[wwe],1981,1,13,,,,m
Shag Thomas,Columbus,Ohio,US,Portland,Oregon,US,[sta],1924,8,11,1982,7,25,m
Shaggy 2 Dope,Wayne,Michigan,US,,,US,"[wwe, wcw]",1974,10,14,,,,m
Shane Douglas,New Brighton,Pennsylvania,US,,,,"[wwe, wcw]",1964,11,21,,,,m
Shane McMahon,Gaithersburg,Maryland,US,,,,"[wwe, wwe]",1970,1,15,,,,m
Shane Sewell,Toronto,Ontario,CA,,,,[tna],1972,9,5,,,,m
Shane Thorne,Perth,Western Australia,AU,,,,[wwe],1985,9,24,,,,m
Shannon Moore,Cameron,North Carolina,US,,,,"[wwe, wcw]",1979,7,27,,,,m
Shark Boy,Dayton,Ohio,US,,,,[wcw],1975,1,28,,,,m
Sharmell Sullivan-Huffman,Gary,Indiana,US,,,US,"[wcw, wwe]",1970,11,2,,,,f
Shawn Daivari,Minneapolis,Minnesota,US,,,,"[wwe, tna]",1984,4,30,,,,m
Shawn Michaels,Chandler,Arizona,US,,,,"[wwe, nwa]",1965,7,22,,,,m
Shawn Stasiak,Hayward,California,US,,,,"[wwe, wcw]",1970,7,21,,,,m
Sheamus,Cabra,Dublin,IE,,,,[wwe],1978,1,28,,,,m
Shelly Martinez,Chino,California,US,,,,"[wwe, tna]",1980,2,9,,,,f
Shelton Benjamin,Orangeburg,South Carolina,US,,,,[wwe],1975,7,9,,,,m
Sherri Martel,Birmingham,Alabama,US,McCalla,Alabama,US,"[wwe, awa, tna]",1958,2,8,2007,6,15,f
Shian-Li Tsang,Osaka,,JP,,,,[wwe],1975,10,19,,,,m
Shigeri Akabane,Tokyo,,JP,Saint Joseph,Missouri,US,"[sta, nwa]",1941,7,5,2011,9,6,m
Shinjiro Otani,Yamaguchi,Yamaguchi,JP,,,US,[wcw],1972,7,21,,,,m
Shinsuke Nakamura,Kyōtango,Kyoto,JP,,,US,[wwe],1980,2,24,,,,m
Shinya Hashimoto,Toki,Gifu,JP,Tokyo,,JP,[sta],1965,7,3,2005,7,11,m
Shocker,Guadalajara,Jalisco,MX,,,,[tna],1971,9,12,,,,m
Shoichi Funaki,Tokyo,,JP,,,,"[wwe, wwe, tna]",1968,8,24,,,,m
Shunji Takano,Fukuoka,Fukuoka,JP,,,,[sta],1964,2,16,,,,m
Sick Boy,Charlotte,North Carolina,US,,,,"[wcw, wwe]",1973,3,20,,,,m
Sid Eudy,West Memphis,Arkansas,US,,,,"[wwe, ecw, wcw]",1960,12,16,,,,m
Sika Anoaʻi,Leone,,AS,,,US,"[nwa, wwe]",1945,4,5,,,,m
Silver King,Torreón,Coahuila,MX,,,US,[wcw],1968,1,9,,,,m
Simon Diamond,Wilmington,Delaware,US,,,,[tna],1968,3,26,,,,m
Simon Gotch,Hoboken,New Jersey,US,,,,[wwe],1982,10,18,,,,m
Simply Luscious,San Antonio,Texas,US,,,,[tna],1973,7,19,,,,m
Sinn Bodhi,Toronto,Ontario,CA,,,,"[tna, wwe]",1973,8,29,,,,m
Sirelda,Windsor,Ontario,CA,,,,[tna],1976,11,20,,,,f
Siva Afi,,,WS,,,US,"[wwe, sta]",1949,4,28,,,,m
Skandor Akbar,Vernon,Texas,US,Garland,Texas,US,[nwa],1934,9,29,2010,8,19,m
Ski Hi Lee,Toronto,Ontario,CA,,,GB,"[sta, nwa]",1921,2,9,1974,,,m
Skip Young,Houston,Texas,US,Dallas,Texas,US,[nwa],1951,7,24,2010,12,3,m
Skull Murphy,Hamilton,Ontario,CA,Charlotte,North Carolina,US,[sta],1930,12,7,1970,3,23,m
Sky Low Low,Montreal,Quebec,CA,,,US,"[sta, nwa]",1928,7,21,1998,11,6,m
Smith Hart,Long Beach,New York,US,,,US,[sta],1948,11,28,,,,m
Snot Dudley,Copiague,New York,US,,,,[ecw],1970,6,21,,,,m
Soldat Ustinov,Minneapolis,Minnesota,US,,,US,"[awa, nwa]",,,,,,,m
Sonny King,,,US,,,US,[wwe],1945,,,,,,m
Sonny Myers,,,US,,,US,[nwa],1924,1,22,2007,5,7,m
Sonny Siaki,Pago Pago,,AS,,,,[wcw],1974,7,23,,,,m
Soulman Alex G,Miami,Florida,US,,,US,[ecw],,,,,,,m
Spice,Meadville,Pennsylvania,US,,,,[wcw],1973,5,29,,,,f
Spike Dudley,Providence,Rhode Island,US,,,,"[wwe, ecw]",1970,8,13,,,,m
Spiros Arion,Cairo,,EG,,,US,[wwe],1940,,,,,,m
Sputnik Monroe,Dodge City,Kansas,US,,Florida,US,[nwa],1928,12,18,2006,11,3,m
Stacy Carter,Memphis,Tennessee,US,,,,[wwe],1970,9,29,,,,f
Stacy Keibler,,,US,,,,"[wwe, wcw]",1979,10,14,,,,f
Stan Hansen,Knox City,Texas,US,,,US,"[wwe, sta, ecw, nwa, awa]",1949,8,29,,,,m
Stan Holek,Chatham-Kent,Ontario,CA,,,,"[sta, nwa]",1933,4,4,,,,m
Stan Lane,Greensboro,North Carolina,US,,,,[wwe],1953,8,5,,,,m
Stan Stasiak,Arvida,Quebec,CA,Portland,Oregon,US,"[wwe, sta, nwa]",1937,4,13,1997,6,19,m
Stephanie Bellars,Rockford,Illinois,US,,,US,"[tna, wcw]",1976,1,25,,,,f
Stephanie McMahon,Hartford,Connecticut,US,,,,[wwe],1976,9,24,,,,f
Stephen Petitpas,Soest,,DE,,,,[sta],1957,11,14,,,,m
Steve Armstrong,Marietta,Georgia,US,,,US,"[wwe, wcw]",1965,3,16,,,,m
Steve Blackman,Annville Township,Pennsylvania,US,,,,"[wwe, sta]",1963,9,28,,,,m
Steve Corino,Winnipeg,Manitoba,CA,,,US,"[ecw, tna]",1973,5,29,,,,m
Steve DiSalvo,Boston,Massachusetts,US,,,US,"[sta, wcw]",1949,4,7,,,,m
Steve Doll,Dallas,Texas,US,Nashville,Tennessee,US,[wwe],1960,9,12,2009,3,22,m
Steve Keirn,Tampa,Florida,US,,,,"[wwe, wwe, wcw]",1951,9,10,,,,m
Steve Lombardi,Brooklyn,New York,US,,,,[wwe],1961,4,18,,,,m
Steve Madison,Tampa,Florida,US,,,US,[tna],1983,4,9,,,,m
Steve McMichael,Houston,Texas,US,,,,"[tna, wcw]",1957,10,17,,,,m
Steve O,Edina,Minnesota,US,,,,[awa],1953,7,3,,,,m
Steve Regal,Ft. Lauderdale,Florida,US,,,US,[awa],1951,8,25,,,,m
Steve Rickard,Napier,,NZ,Queensland,,AU,[sta],1929,9,3,2015,4,5,m
Steven Lewington,Wokingham,England,GB,,,,[wwe],1983,2,25,,,,m
Stevie Ray,Houston,Texas,US,,,,[wcw],1958,8,22,,,,m
Stevie Richards,Philadelphia,Pennsylvania,US,,,,"[wwe, wcw]",1971,10,9,,,,m
Sting,Omaha,Nebraska,US,,,,"[wwe, wwe, tna, wcw]",1959,3,20,,,,m
Stone Cold Steve Austin,Austin,Texas,US,,,,"[wwe, wwe, ecw, wcw]",1964,12,18,,,,m
Stu Hart,Saskatoon,Saskatchewan,CA,Calgary,Alberta,US,[sta],1915,5,3,2003,10,16,m
Stuart Tomlinson,Chester,England,GB,,,,[wwe],1985,5,22,,,,m
Sugi Sito,León,Guanajuato,MX,,,US,"[sta, nwa]",1926,12,6,2000,5,4,m
Summer Rae,Manhasset,New York,US,,,,[wwe],1983,11,28,,,,f
Super Caló,Guadalajara,Jalisco,MX,,,,"[ecw, wcw]",1971,2,22,,,,m
Super Crazy,Tulancingo,Hidalgo,MX,,,,"[wwe, ecw]",1973,12,3,,,,m
Super Dragon,Orange County,California,US,,,,[tna],1980,6,8,,,,m
Superstar Billy Graham,Phoenix,Arizona,US,,,,"[wwe, sta, nwa, awa]",1943,6,7,,,,m
Sweet Daddy Siki,Montgomery,Texas,US,,,,[sta],1940,6,16,,,,m
Sylvain Grenier,Varennes,Quebec,CA,,,,"[wwe, tna]",1977,3,26,,,,m
Sylvester Lefort,Nice,Provence-Alpes-Côte d'Azur,FR,,,,[tna],1984,5,4,,,,m
Sylvester Terkay,Washington,Pennsylvania,US,,,,[wwe],1970,12,4,,,,m
T.J. Mack,Philadelphia,Pennsylvania,US,,,,[tna],1986,2,18,,,,m
Taichi Ishikari,Ishikari,Hokkaido,JP,,,,[tna],1980,3,19,,,,m
Taka Michinoku,Morioka,Iwate Prefecture,JP,,,US,"[wwe, ecw]",1973,10,26,,,,m
Takao Omori,Tokyo,,JP,,,US,[tna],1969,10,16,,,,m
Tamina Snuka,Vancouver,Washington,US,,,US,[wwe],1978,1,10,,,,f
Tammy Lynn Sytch,Matawan,New Jersey,US,,,US,"[wwe, wcw]",1972,12,7,,,,f
Tank Abbott,Huntington Beach,California,US,,,US,[wcw],1965,4,26,,,,m
Tank Toland,Atlantic City,New Jersey,US,,,,[wwe],1980,8,31,,,,m
Taryn Terrell,New Orleans,Louisiana,US,,,,[wwe],1985,12,28,,,,f
Tarzan Goto,Shimada,Shizuoka,JP,,,US,"[ecw, nwa]",1963,8,16,,,,m
Tarzan Tyler,Montreal,Quebec,CA,Laurentides Wildlife Reserve,Quebec,CA,"[wwe, sta, nwa]",1927,12,4,1985,12,24,m
Tatanka,Pembroke,North Carolina,US,,,,[wwe],1961,6,8,,,,m
Tatsumi Fujinami,Kunisaki,Ōita,US,,,US,"[wwe, wwe, sta, ecw]",1953,12,28,,,,m
Taylor Wilde,Toronto,Ontario,CA,,,,[tna],1986,1,26,,,,f
Tazz,Brooklyn,New York,US,,,US,"[wwe, ecw]",1967,10,11,,,,m
Ted Arcidi,Buffalo,New York,US,,,US,[sta],1958,6,16,,,,m
Ted DiBiase,Miami,Florida,US,,,,"[wwe, nwa, wcw]",1954,1,18,,,,m
Ted DiBiase Jr.,Baton Rouge,Louisiana,US,,,,[wwe],1982,11,8,,,,m
Teijo Khan,,,US,,,US,"[sta, nwa]",1956,3,23,,,,m
Terrible Ted,Gaspe Peninsula,Quebec,CA,,,,[sta],1950,,,,,,m
Terry Funk,Hammond,Indiana,US,,,,"[wwe, sta, ecw, nwa, wcw]",1944,6,30,,,,m
Terry Garvin,Montreal,Quebec,CA,,,US,[nwa],1937,4,9,1998,8,17,m
Terry Gordy,Chattanooga,Tennessee,US,Soddy-Daisy,Tennessee,US,"[wwe, ecw, nwa, wcw]",1961,4,23,2001,7,16,m
Terry Taylor,Greenville,South Carolina,US,,,US,"[wwe, ecw, nwa, tna]",1955,8,12,,,,m
Test,Whitby,Ontario,CA,Tampa,Florida,US,"[wwe, tna]",1975,3,17,2009,3,13,m
Tetsuya Naito,Adachi,Tokyo,JP,,,US,[tna],1982,6,22,,,,m
The Barbarian,Nukuʻalofa,,TO,,,,"[wwe, nwa, wcw]",1958,9,6,,,,m
The Blue Meanie,Philadelphia,Pennsylvania,US,,,,"[wwe, ecw, tna]",1973,5,18,,,,m
The Boogeyman,Phoenix,Arizona,US,,,,"[wwe, wwe]",1964,7,15,,,,m
The Brian Kendrick,Fairfax,Virginia,US,,,,"[wwe, tna]",1979,5,29,,,,m
The Crusher,South Milwaukee,Wisconsin,US,South Milwaukee,Wisconsin,US,"[wwe, sta, nwa, awa, awa]",1926,7,11,2005,10,22,m
The Fabulous Moolah,Kershaw County,South Carolina,US,Columbia,South Carolina,US,"[wwe, sta, nwa]",1923,7,22,2007,11,2,f
The Godfather,Palo Alto,California,US,,,,[wwe],1961,5,16,,,,m
The Great Khali,Dhiraina,Himachal Pradesh,IN,,,US,[wwe],1972,8,27,,,,m
The Great Sasuke,Morioka,Tōhoku region,JP,,,,"[wwe, ecw]",1969,7,18,,,,m
The Honky Tonk Man,Bolivar,Tennessee,US,,,,"[wwe, sta, wcw]",1953,1,25,,,,m
The Iron Sheik,Tehran,,IR,,,,"[wwe, sta, nwa]",1942,3,15,,,,m
The Italian Stallion,,North Carolina,US,,,US,"[wwe, nwa]",1957,10,24,,,,m
The Maestro,Raleigh,North Carolina,US,,,,[wcw],1973,1,26,,,,m
The Missing Link,Hamilton,Ontario,CA,Hamilton,Ontario,CA,"[wwe, nwa]",1939,2,28,2007,8,16,m
The Missouri Mauler,St. Joseph,Missouri,US,St. Joseph,Missouri,US,"[sta, nwa]",1931,4,1,1996,7,20,m
The Miz,Parma,Ohio,US,,,,[wwe],1980,10,8,,,,m
The Patriot,Columbia,South Carolina,US,,,US,"[wwe, awa, wcw]",1961,12,21,,,,m
The Renegade,Marietta,Georgia,US,Atlanta,Georgia,US,[wcw],1965,10,16,1999,2,23,m
The Sandman,Sandy,Utah,US,,,,"[wwe, ecw, wcw]",1963,6,16,,,,m
The Ultimate Warrior,Crawfordsville,Indiana,US,Scottsdale,Arizona,US,[wwe],1959,6,16,2014,4,8,m
The Undertaker,Houston,Texas,US,,,,[wwe],1965,3,24,,,,m
The Usos,San Francisco,California,US,,,,"[wwe, wwe]",1985,8,22,,,,m
The Warlord,Pompano Beach,Florida,US,,,,"[wwe, ecw, nwa, wcw]",1962,3,28,,,,m
The Wolfman,,,HU,Toronto,Ontario,CA,[sta],1935,,,2016,1,10,m
Theodore Long,Birmingham,Alabama,US,,,US,[wwe],1947,9,15,,,,m
Thrasher,Camden,New Jersey,US,,,,"[wwe, ecw]",1969,6,13,,,,m
Tiger Ali Singh,Toronto,,CA,,,,[wwe],1973,3,7,,,,m
Tiger Jeet Singh,Ludhiana,Punjab,IN,,,,[sta],1948,4,3,,,,m
Tiger Mask IV,Urayasu,Chiba,JP,,,,"[ecw, tna]",1970,10,20,,,,m
Tigre Uno,Tijuana,Baja California,MX,,,,[tna],1981,4,4,,,,m
Tim Roberts,Staten Island,New York,US,Haskell,New Jersey,US,[wwe],1976,12,27,2015,1,7,m
Timothy Well,,New York,US,,,US,"[wwe, ecw, wcw]",1961,9,8,,,,m
Tiny Mills,Camrose,Alberta,CA,,,US,"[sta, nwa]",1911,,,1987,,,m
Tito Santana,Mission,Texas,US,,,,"[wwe, sta, ecw]",1953,5,10,,,,m
Titus O'Neil,Boynton Beach,Florida,US,,,,[wwe],1977,4,29,,,,m
Todd Champion,Los Angeles,California,US,,,,"[nwa, wcw]",1960,9,2,,,,m
Todd Shane,Galesburg,Illinois,US,,,,"[nwa, tna, wwe]",1967,12,21,,,,m
Tom Lister Jr.,Compton,California,US,,,US,"[wcw, wwe]",1958,6,24,,,,m
Tom Magee,Winnipeg,Manitoba,CA,,,,[sta],1958,7,1,,,,m
