name,birth_city,birth_state,birth_country,death_city,death_state,death_country,birth_year,birth_month,birth_day,death_year,death_month,death_day
Harry Donovan,Union City,New Jersey,US,,,,1926,9,10,,,
Dick McGuire,The Bronx,New York,US,Huntington,New York,US,1926,1,25,2010,2,3
Duane Klueh,Bottineau,North Dakota,US,,,,1926,1,6,,,
Alex Groza,Martins Ferry,Ohio,US,San Diego,California,US,1926,10,7,1995,1,21
John Payak,Rossford,Ohio,US,Toledo,Ohio,US,1926,11,20,2009,2,27
Jim Springer,New Winchester,Ohio,US,,,,1926,6,17,,,
Chuck Cooper,Pittsburgh,Pennsylvania,US,Pittsburgh,Pennsylvania,US,1926,9,29,1984,2,5
Bill Sharman,Abilene,Texas,US,Redondo Beach,California,US,1926,5,25,2013,10,25
Glen Selbo,La Crosse,Wisconsin,US,Sun City West,Arizona,US,1926,3,29,1995,5,29
Jack Nichols,,,US,Palm Springs,California,US,1926,4,9,1992,12,24
Norm Mager,,,US,Boynton Beach,Florida,US,1926,3,23,2005,3,17
Nate DeLong,,,US,Duluth,Minnesota,US,1926,1,5,2010,5,5
Bill Tosheff,,,US,,,,1926,6,2,2011,10,1
Bob Wilson,,,US,,,,1926,3,8,2014,8,26
Carl Meinhold,,,US,,,,1926,3,29,,,
Donnie Forman,,,US,,,,1926,1,7,,,
Ed Dahler,,,US,,,,1926,1,31,2012,3,16
Gene Berce,,,US,,,,1926,11,22,,,
Herb Krautblatt,,,US,,,,1926,11,19,,,
Leon Blevins,,,US,,,,1926,6,25,1987,9,2
Bill Calhoun,San Francisco,California,US,,,,1927,11,4,,,
Harry Gallatin,Roxana,Illinois,US,Edwardsville,Illinois,US,1927,4,26,2015,10,7
Don Rehfeldt,Chicago,Illinois,US,Wisconsin Rapids,Wisconsin,US,1927,1,7,1980,10,16
Vince Boryla,East Chicago,Indiana,US,Denver,Colorado,US,1927,3,11,2016,3,27
Sam Ranzino,Gary,Indiana,US,,,,1927,6,21,1994,3,13
Paul Walther,Covington,Kentucky,US,Atlanta,Georgia,US,1927,3,23,2014,12,21
Ralph Beard,Hardinsburg,Kentucky,US,Louisville,Kentucky,US,1927,12,2,2007,11,29
Gene Rhodes,Louisville,Kentucky,US,,,,1927,9,2,,,
John Pritchard,Minneapolis,Minnesota,US,Fridley,Minnesota,US,1927,1,23,2012,8,3
Jake Bornheimer,New Brunswick,New Jersey,US,,,,1927,6,9,1986,9,10
Carl Braun,Brooklyn,New York,US,Stuart,Florida,US,1927,9,25,2010,2,10
Francis Mahoney,Brooklyn,New York,US,,,,1927,11,20,2008,4,29
Joe Dolhon,New York,New York,US,,,,1927,7,9,1981,1,5
Mal McMullen,Fostoria,Ohio,US,Kokomo,Indiana,US,1927,8,23,1995,4,13
Chuck Share,Akron,Ohio,US,Chesterfield,Missouri,US,1927,3,14,2012,6,7
Cal Christensen,Toledo,Ohio,US,Waterville,Ohio,US,1927,7,8,2011,8,31
Bob Harrison,Toledo,Ohio,US,,,,1927,8,12,,,
Dick Schnittker,Kelleys Island,Ohio,US,,,,1927,5,27,,,
Jim Baechtold,McKeesport,Pennsylvania,US,Richmond,Kentucky,US,1927,12,9,2011,8,29
Bob Harris,Linden,Tennessee,US,,,,1927,3,16,,,
Bob O'Brien,,,US,Castle Pines,Colorado,US,1927,1,26,2008,9,19
Johnny Orr,,,US,Des Moines,Iowa,US,1927,6,10,2013,12,30
Bob Lochmueller,,,US,,,,1927,6,5,,,
Bob Royer,,,US,,,,1927,10,15,1973,5,30
Bud Grant,,,US,,,,1927,5,20,,,
Claude Overton,,,US,,,,1927,12,16,1996,4,29
Ed Earle,,,US,,,,1927,4,28,2009,3,26
Ed Gayda,,,US,,,,1927,5,11,,,
Ed Leede,,,US,,,,1927,7,17,,,
Jerry Fowler,,,US,,,,1927,6,20,2008,6,15
John Barber,,,US,,,,1927,6,27,,,
Leo Kubiak,,,US,,,,1927,12,25,,,
